Season,Injury,from,until,Days,Games missed,age,player_name,tm_id,sb_id
14/15,Ankle Injury,2014-08-23,2014-09-23,31.0,7,24.0,Ryan Bennett,67252,9930
13/14,Thigh Muscle Strain,2014-02-06,2014-03-01,23.0,3,23.0,Ryan Bennett,67252,9930
21/22,Sprained ankle,2021-11-16,2022-01-05,50.0,10,22.0,Rúben Vinagre,357158,9932
20/21,Muscular problems,2020-11-08,2020-11-21,13.0,2,21.0,Rúben Vinagre,357158,9932
19/20,Strain,2020-01-17,2020-02-22,36.0,5,20.0,Rúben Vinagre,357158,9932
18/19,Virus Infection,2019-01-31,2019-02-10,10.0,2,19.0,Rúben Vinagre,357158,9932
21/22,Leg Injury,2021-12-18,2022-02-25,69.0,10,30.0,Willy Boly,142310,9933
21/22,Unknown Injury,2021-11-30,2021-12-06,6.0,2,30.0,Willy Boly,142310,9933
21/22,Hamstring Injury,2021-07-25,2021-08-14,20.0,1,30.0,Willy Boly,142310,9933
20/21,Corona virus,2021-04-01,2021-04-15,14.0,2,29.0,Willy Boly,142310,9933
20/21,Bruise,2021-02-03,2021-02-28,25.0,5,29.0,Willy Boly,142310,9933
20/21,Muscle Injury,2020-12-26,2021-01-15,20.0,5,29.0,Willy Boly,142310,9933
19/20,Ankle Injury,2019-10-26,2020-01-22,88.0,20,28.0,Willy Boly,142310,9933
20/21,Fractured Foot,2020-10-04,2021-01-01,89.0,18,20.0,Morgan Gibbs-White,429014,9934
19/20,Ankle Injury,2020-03-04,2020-06-06,94.0,2,19.0,Morgan Gibbs-White,429014,9934
19/20,Back Injury,2019-11-03,2020-01-10,68.0,14,19.0,Morgan Gibbs-White,429014,9934
19/20,Knock,2019-08-08,2019-08-10,2.0,1,19.0,Morgan Gibbs-White,429014,9934
22/23,Hamstring Injury,2022-07-20,2022-08-13,24.0,2,26.0,Adama Traoré,204103,11333
20/21,Hamstring Injury,2021-01-09,2021-01-14,5.0,1,24.0,Adama Traoré,204103,11333
20/21,Knock,2020-09-02,2020-09-04,2.0,0,24.0,Adama Traoré,204103,11333
19/20,Shoulder Injury,2020-03-02,2020-03-06,4.0,0,23.0,Adama Traoré,204103,11333
19/20,Shoulder Injury,2020-02-02,2020-02-13,11.0,0,23.0,Adama Traoré,204103,11333
19/20,Knock,2020-01-17,2020-01-17,0.0,0,23.0,Adama Traoré,204103,11333
19/20,Shoulder Injury,2019-12-16,2019-12-20,4.0,0,23.0,Adama Traoré,204103,11333
19/20,Knock,2019-11-11,2019-11-22,11.0,0,23.0,Adama Traoré,204103,11333
18/19,Hamstring Injury,2018-12-30,2019-01-01,2.0,0,22.0,Adama Traoré,204103,11333
18/19,Shoulder Injury,2018-07-27,2018-08-17,21.0,3,22.0,Adama Traoré,204103,11333
15/16,Metatarsal Fracture,2016-01-03,2016-04-03,91.0,15,19.0,Adama Traoré,204103,11333
15/16,Calf Injury,2015-08-25,2015-09-19,25.0,4,19.0,Adama Traoré,204103,11333
21/22,Fitness,2021-12-19,2022-01-18,30.0,5,27.0,Ivan Cavaleiro,149716,18243
21/22,Groin Injury,2021-10-16,2021-12-18,63.0,11,27.0,Ivan Cavaleiro,149716,18243
20/21,Hamstring Injury,2020-12-18,2020-12-25,7.0,1,26.0,Ivan Cavaleiro,149716,18243
20/21,Thigh Problems,2020-10-23,2020-10-30,7.0,1,26.0,Ivan Cavaleiro,149716,18243
19/20,Thigh Problems,2020-07-15,2020-07-29,14.0,3,25.0,Ivan Cavaleiro,149716,18243
18/19,Back Injury,2018-08-04,2018-09-16,43.0,6,24.0,Ivan Cavaleiro,149716,18243
15/16,Back trouble,2016-01-11,2016-03-07,56.0,11,21.0,Ivan Cavaleiro,149716,18243
15/16,Back trouble,2015-11-06,2015-12-20,44.0,10,21.0,Ivan Cavaleiro,149716,18243
14/15,Meniscus Damage,2015-06-17,2015-06-21,4.0,0,20.0,Ivan Cavaleiro,149716,18243
12/13,Hamstring Injury,2012-11-24,2013-04-13,140.0,24,25.0,John Ruddy,29712,23635
19/20,Ankle Surgery,2019-10-04,2020-01-06,94.0,13,30.0,Aron Gunnarsson,63821,5515
18/19,Back Injury,2019-04-18,2019-04-20,2.0,0,29.0,Aron Gunnarsson,63821,5515
18/19,Knee Injury,2018-10-07,2018-10-19,12.0,0,29.0,Aron Gunnarsson,63821,5515
18/19,Knee Injury,2018-08-01,2018-10-05,65.0,8,29.0,Aron Gunnarsson,63821,5515
17/18,Ankle Surgery,2017-11-22,2018-03-22,120.0,22,28.0,Aron Gunnarsson,63821,5515
17/18,Unknown Injury,2017-10-14,2017-11-14,31.0,4,28.0,Aron Gunnarsson,63821,5515
17/18,Unknown Injury,2017-09-24,2017-10-02,8.0,2,28.0,Aron Gunnarsson,63821,5515
20/21,Cruciate Ligament Rupture,2020-08-24,2021-04-08,227.0,34,26.0,Víctor Camarasa,263856,6659
18/19,Knock,2019-05-05,2019-05-31,26.0,1,24.0,Víctor Camarasa,263856,6659
18/19,Calf Strain,2019-02-10,2019-03-01,19.0,2,24.0,Víctor Camarasa,263856,6659
18/19,Strain,2019-01-20,2019-02-08,19.0,2,24.0,Víctor Camarasa,263856,6659
18/19,Knock,2019-01-02,2019-01-18,16.0,2,24.0,Víctor Camarasa,263856,6659
17/18,Muscular problems,2018-03-13,2018-03-30,17.0,1,23.0,Víctor Camarasa,263856,6659
17/18,Muscle Injury,2017-09-21,2017-10-14,23.0,2,23.0,Víctor Camarasa,263856,6659
14/15,Hamstring Injury,2015-03-16,2015-04-09,24.0,3,20.0,Víctor Camarasa,263856,6659
20/21,Hamstring Injury,2020-10-04,2020-10-26,22.0,3,30.0,Joe Bennett,90964,9911
20/21,Hamstring Injury,2020-09-20,2020-09-30,10.0,1,30.0,Joe Bennett,90964,9911
19/20,Eye Injury,2019-12-30,2020-01-02,3.0,1,29.0,Joe Bennett,90964,9911
18/19,Hamstring Injury,2019-03-10,2019-03-30,20.0,0,28.0,Joe Bennett,90964,9911
18/19,Hip Injury,2018-12-16,2018-12-25,9.0,1,28.0,Joe Bennett,90964,9911
13/14,Sprained Ankle,2014-04-23,2014-05-13,20.0,4,23.0,Joe Bennett,90964,9911
13/14,Back Injury,2013-11-02,2014-01-09,68.0,12,23.0,Joe Bennett,90964,9911
12/13,Knee Injury,2012-11-03,2012-12-15,42.0,9,22.0,Joe Bennett,90964,9911
20/21,cancer,2021-01-11,2021-05-20,129.0,24,35.0,Sol Bamba,28984,9912
18/19,Torn Knee Ligament,2019-03-03,2019-05-31,89.0,9,33.0,Sol Bamba,28984,9912
14/15,Unknown Injury,2014-10-25,2014-11-24,30.0,5,29.0,Sol Bamba,28984,9912
13/14,Fitness,2014-04-24,2014-05-12,18.0,3,28.0,Sol Bamba,28984,9912
13/14,Foot surgery,2014-01-22,2014-04-24,92.0,15,28.0,Sol Bamba,28984,9912
13/14,Strain,2013-11-07,2013-11-11,4.0,2,28.0,Sol Bamba,28984,9912
12/13,Knee Injury,2012-11-27,2012-12-24,27.0,7,27.0,Sol Bamba,28984,9912
10/11,Unknown Injury,2011-04-16,2011-05-08,22.0,5,25.0,Sol Bamba,28984,9912
07/08,Unknown Injury,2007-12-01,2008-01-27,57.0,10,22.0,Sol Bamba,28984,9912
18/19,Ill,2019-02-10,2019-05-25,104.0,12,31.0,Lee Peltier,38094,9913
18/19,Shoulder Injury,2018-09-22,2018-11-09,48.0,6,31.0,Lee Peltier,38094,9913
17/18,Ankle problems,2018-03-12,2018-03-22,10.0,1,30.0,Lee Peltier,38094,9913
17/18,Injury to the ankle,2018-02-18,2018-03-07,17.0,3,30.0,Lee Peltier,38094,9913
12/13,Cruciate Ligament Rupture,2012-08-14,2013-02-14,184.0,26,24.0,Bruno Ecuele Manga,60990,9915
18/19,Hamstring Injury,2019-04-22,2019-05-31,39.0,3,24.0,Joe Ralls,195680,9917
18/19,Knock,2019-02-24,2019-03-01,5.0,1,24.0,Joe Ralls,195680,9917
18/19,Knee Injury,2018-10-07,2018-11-08,32.0,3,24.0,Joe Ralls,195680,9917
17/18,Hamstring Injury,2018-02-26,2018-04-16,49.0,8,23.0,Joe Ralls,195680,9917
21/22,Corona virus,2021-07-15,2021-07-17,2.0,0,31.0,Neil Etheridge,61694,9920
13/14,Hamstring Injury,2014-02-27,2014-04-14,46.0,2,23.0,Neil Etheridge,61694,9920
13/14,Hamstring Injury,2013-12-03,2014-01-01,29.0,2,23.0,Neil Etheridge,61694,9920
12/13,Muscle Injury,2013-01-01,2013-01-18,17.0,4,22.0,Neil Etheridge,61694,9920
12/13,Leg Injury,2012-12-17,2012-12-28,11.0,2,22.0,Neil Etheridge,61694,9920
11/12,Wirst Injury,2012-03-23,2012-06-10,79.0,9,21.0,Neil Etheridge,61694,9920
21/22,Knock,2021-08-16,2021-08-20,4.0,1,28.0,Bobby Reid,186186,9923
21/22,Corona virus,2021-07-15,2021-07-22,7.0,0,28.0,Bobby Reid,186186,9923
20/21,Thigh Muscle Strain,2020-12-18,2020-12-18,0.0,0,27.0,Bobby Reid,186186,9923
19/20,Knock,2019-11-26,2019-12-13,17.0,4,26.0,Bobby Reid,186186,9923
22/23,Cruciate Ligament Rupture,2022-02-02,2022-12-23 00:00:00,316.0,0,31.0,Sean Morrison,79723,9924
18/19,Appendicitis,2019-01-13,2019-02-21,39.0,4,27.0,Sean Morrison,79723,9924
20/21,Calf Injury,2020-10-29,2020-12-31,63.0,12,26.0,Kenneth Zohore,135213,11288
19/20,Calf Injury,2020-06-27,2020-10-18,113.0,1,25.0,Kenneth Zohore,135213,11288
19/20,Calf Injury,2020-01-29,2020-03-11,42.0,9,25.0,Kenneth Zohore,135213,11288
19/20,Calf Problems,2019-12-27,2019-12-30,3.0,1,25.0,Kenneth Zohore,135213,11288
19/20,Calf Injury,2019-11-26,2019-12-23,27.0,6,25.0,Kenneth Zohore,135213,11288
19/20,Calf Injury,2019-10-06,2019-10-25,19.0,2,25.0,Kenneth Zohore,135213,11288
19/20,Calf Injury,2019-08-12,2019-08-14,2.0,1,25.0,Kenneth Zohore,135213,11288
18/19,Thigh Muscle Strain,2018-12-22,2019-01-28,37.0,7,24.0,Kenneth Zohore,135213,11288
18/19,Calf Strain,2018-11-02,2018-12-15,43.0,7,24.0,Kenneth Zohore,135213,11288
18/19,Groin Strain,2018-08-07,2018-08-17,10.0,1,24.0,Kenneth Zohore,135213,11288
17/18,Injury to the ankle,2017-10-14,2017-12-18,65.0,10,23.0,Kenneth Zohore,135213,11288
18/19,Ankle Injury,2019-03-29,2019-05-31,63.0,8,23.0,Callum Paterson,169555,11290
18/19,Knock,2019-01-13,2019-01-18,5.0,0,23.0,Callum Paterson,169555,11290
18/19,Knee Injury,2018-12-23,2018-12-28,5.0,1,23.0,Callum Paterson,169555,11290
16/17,Knee Injury,2016-12-27,2017-09-30,277.0,25,21.0,Callum Paterson,169555,11290
15/16,Shoulder Injury,2016-03-01,2016-04-18,48.0,7,20.0,Callum Paterson,169555,11290
15/16,Thigh Problems,2016-02-17,2016-02-25,8.0,1,20.0,Callum Paterson,169555,11290
15/16,Knock,2015-12-28,2016-01-01,4.0,1,20.0,Callum Paterson,169555,11290
14/15,Knee Injury,2014-07-26,2014-09-19,55.0,8,19.0,Callum Paterson,169555,11290
13/14,Ankle Injury,2013-10-19,2013-10-24,5.0,1,18.0,Callum Paterson,169555,11290
12/13,Foot surgery,2013-01-22,2013-07-22,181.0,18,17.0,Callum Paterson,169555,11290
12/13,Ankle Injury,2012-10-06,2012-10-20,14.0,1,17.0,Callum Paterson,169555,11290
22/23,Cruciate Ligament Rupture,2022-08-22,2022-12-23 00:00:00,115.0,12,27.0,Rhys Healey,238185,12649
21/22,Adductor problems,2022-04-26,2022-05-15,19.0,3,26.0,Rhys Healey,238185,12649
21/22,Rest,2022-02-10,2022-02-16,6.0,1,26.0,Rhys Healey,238185,12649
21/22,Calf Injury,2021-01-10,2021-01-19,9.0,2,26.0,Rhys Healey,238185,12649
19/20,Thigh Problems,2019-09-14,2019-12-10,87.0,18,24.0,Rhys Healey,238185,12649
16/17,Cruciate Ligament Surgery,2017-02-18,2017-11-18,273.0,33,21.0,Rhys Healey,238185,12649
15/16,Ankle Injury,2015-11-07,2015-12-20,43.0,11,20.0,Rhys Healey,238185,12649
21/22,Corona virus,2021-12-21,2022-01-01,11.0,1,31.0,Matt Ritchie,92469,3049
20/21,Shoulder Injury,2020-09-27,2020-11-25,59.0,8,30.0,Matt Ritchie,92469,3049
19/20,Knock,2020-06-24,2020-07-01,7.0,3,29.0,Matt Ritchie,92469,3049
19/20,Knock,2020-06-18,2020-06-20,2.0,0,29.0,Matt Ritchie,92469,3049
19/20,Ankle Injury,2019-08-28,2020-01-03,128.0,19,29.0,Matt Ritchie,92469,3049
19/20,Hamstring Injury,2019-08-03,2019-08-10,7.0,0,29.0,Matt Ritchie,92469,3049
19/20,Hamstring Injury,2019-07-30,2019-08-10,11.0,0,29.0,Matt Ritchie,92469,3049
18/19,Knee Injury,2018-08-28,2018-09-14,17.0,2,28.0,Matt Ritchie,92469,3049
17/18,Knee Injury,2018-05-16,2018-07-16,61.0,0,27.0,Matt Ritchie,92469,3049
17/18,Groin Injury,2018-03-26,2018-03-30,4.0,0,27.0,Matt Ritchie,92469,3049
17/18,Ill,2018-03-03,2018-03-09,6.0,1,27.0,Matt Ritchie,92469,3049
17/18,Broken wrist,2017-11-29,2017-12-01,2.0,0,27.0,Matt Ritchie,92469,3049
17/18,Thigh Problems,2017-10-06,2017-10-14,8.0,0,27.0,Matt Ritchie,92469,3049
21/22,Calf Injury,2021-07-28,2022-01-01,157.0,20,29.0,Paul Dummett,170321,3065
20/21,Hamstring Injury,2021-02-04,2021-02-05,1.0,0,28.0,Paul Dummett,170321,3065
20/21,Thigh Muscle Strain,2021-01-13,2021-02-01,19.0,4,28.0,Paul Dummett,170321,3065
20/21,Ill,2020-12-21,2021-01-02,12.0,3,28.0,Paul Dummett,170321,3065
20/21,Hamstring Injury,2020-11-07,2020-12-18,41.0,4,28.0,Paul Dummett,170321,3065
19/20,Achilles tendon rupture,2020-01-11,2020-10-18,281.0,30,27.0,Paul Dummett,170321,3065
19/20,Groin Injury,2019-12-22,2020-01-10,19.0,4,27.0,Paul Dummett,170321,3065
18/19,Hamstring Injury,2019-01-03,2019-02-22,50.0,8,26.0,Paul Dummett,170321,3065
18/19,Hamstring Injury,2018-11-18,2018-12-08,20.0,3,26.0,Paul Dummett,170321,3065
18/19,Hamstring Injury,2018-09-23,2018-10-19,26.0,2,26.0,Paul Dummett,170321,3065
17/18,Hamstring Injury,2017-08-13,2017-12-07,116.0,16,25.0,Paul Dummett,170321,3065
15/16,Hamstring Injury,2016-03-05,2016-04-09,35.0,5,23.0,Paul Dummett,170321,3065
15/16,Hamstring Injury,2015-08-27,2015-10-18,52.0,7,23.0,Paul Dummett,170321,3065
14/15,Hamstring Injury,2015-06-06,2015-08-24,79.0,3,22.0,Paul Dummett,170321,3065
14/15,Knee Injury,2015-02-11,2015-05-09,87.0,12,22.0,Paul Dummett,170321,3065
13/14,Hamstring Injury,2013-10-31,2013-11-10,10.0,2,21.0,Paul Dummett,170321,3065
21/22,Chickenpox,2022-05-12,2022-05-23,11.0,2,27.0,Javier Manquillo,162029,3075
20/21,Ankle Injury,2021-02-07,2021-03-10,31.0,4,26.0,Javier Manquillo,162029,3075
20/21,Virus Infection,2021-01-24,2021-01-25,1.0,0,26.0,Javier Manquillo,162029,3075
20/21,Virus Infection,2020-11-29,2020-12-25,26.0,4,26.0,Javier Manquillo,162029,3075
20/21,Knock,2020-07-02,2020-07-04,2.0,0,26.0,Javier Manquillo,162029,3075
19/20,Thigh Muscle Strain,2020-01-02,2020-02-28,57.0,10,25.0,Javier Manquillo,162029,3075
18/19,Ankle Injury,2018-08-20,2018-09-14,25.0,3,24.0,Javier Manquillo,162029,3075
13/14,Vertebra injury,2014-02-13,2014-04-08,54.0,12,19.0,Javier Manquillo,162029,3075
20/21,Calf Injury,2021-02-11,2021-02-12,1.0,0,27.0,Ayoze Pérez,246968,3076
19/20,Knock,2020-06-07,2020-06-19,12.0,0,26.0,Ayoze Pérez,246968,3076
22/23,Knee Problems,2022-07-25,2022-10-10,77.0,15,27.0,Isaac Hayden,206225,3079
21/22,Knee Surgery,2021-12-28,2022-04-20,113.0,15,26.0,Isaac Hayden,206225,3079
20/21,Knee Injury,2021-03-20,2021-06-01,73.0,10,25.0,Isaac Hayden,206225,3079
20/21,Corona virus,2020-11-25,2020-12-11,16.0,1,25.0,Isaac Hayden,206225,3079
20/21,Thigh Muscle Strain,2020-10-18,2020-10-24,6.0,0,25.0,Isaac Hayden,206225,3079
20/21,Thigh Muscle Strain,2020-07-05,2020-07-25,20.0,5,25.0,Isaac Hayden,206225,3079
18/19,Hip Injury,2019-04-21,2019-04-26,5.0,0,23.0,Isaac Hayden,206225,3079
18/19,Back Injury,2019-01-17,2019-01-18,1.0,0,23.0,Isaac Hayden,206225,3079
18/19,Knock,2018-11-30,2018-12-14,14.0,3,23.0,Isaac Hayden,206225,3079
16/17,Ankle Surgery,2017-02-17,2017-03-31,42.0,7,21.0,Isaac Hayden,206225,3079
14/15,Ankle Injury,2014-10-20,2014-12-01,42.0,3,19.0,Isaac Hayden,206225,3079
21/22,Ill,2022-02-11,2022-02-16,5.0,1,27.0,Jamaal Lascelles,183318,3081
20/21,Foot Injury,2021-04-04,2021-06-01,58.0,9,26.0,Jamaal Lascelles,183318,3081
20/21,Thigh Muscle Strain,2021-01-31,2021-02-14,14.0,2,26.0,Jamaal Lascelles,183318,3081
20/21,Corona virus,2020-11-25,2020-12-10,15.0,1,26.0,Jamaal Lascelles,183318,3081
20/21,Muscle Fatigue,2020-11-22,2021-01-17,56.0,10,26.0,Jamaal Lascelles,183318,3081
20/21,Hip Injury,2020-09-28,2020-10-16,18.0,2,26.0,Jamaal Lascelles,183318,3081
20/21,Ankle problems,2020-07-12,2020-09-01,51.0,3,26.0,Jamaal Lascelles,183318,3081
19/20,Knee Injury,2019-11-09,2020-01-13,65.0,12,25.0,Jamaal Lascelles,183318,3081
18/19,Ill,2019-04-21,2019-05-03,12.0,1,24.0,Jamaal Lascelles,183318,3081
18/19,Knee Injury,2019-03-10,2019-03-31,21.0,1,24.0,Jamaal Lascelles,183318,3081
18/19,Shoulder Injury,2018-11-04,2018-11-30,26.0,2,24.0,Jamaal Lascelles,183318,3081
18/19,Ankle Injury,2018-09-16,2018-09-21,5.0,0,24.0,Jamaal Lascelles,183318,3081
18/19,Ankle Injury,2018-08-19,2018-08-31,12.0,2,24.0,Jamaal Lascelles,183318,3081
17/18,Ankle Injury,2017-11-04,2017-12-02,28.0,5,23.0,Jamaal Lascelles,183318,3081
19/20,Ill,2020-02-21,2020-03-01,9.0,2,27.0,Christian Atsu,186997,3084
19/20,Hamstring Injury,2019-08-12,2019-08-24,12.0,1,27.0,Christian Atsu,186997,3084
17/18,Knee Injury,2018-04-13,2018-07-01,79.0,6,25.0,Christian Atsu,186997,3084
17/18,Thigh Muscle Strain,2017-11-08,2017-12-02,24.0,4,25.0,Christian Atsu,186997,3084
15/16,Torn Muscle Fibre,2016-02-06,2016-02-22,16.0,2,23.0,Christian Atsu,186997,3084
15/16,Stress response of the bone,2015-09-23,2015-12-01,69.0,9,23.0,Christian Atsu,186997,3084
14/15,Hamstring Injury,2014-12-11,2015-01-01,21.0,6,22.0,Christian Atsu,186997,3084
18/19,Hip Injury,2019-04-03,2019-04-11,8.0,1,31.0,Mohamed Diamé,70950,3274
18/19,Hip Injury,2019-01-03,2019-02-10,38.0,7,31.0,Mohamed Diamé,70950,3274
18/19,Hip Injury,2018-08-04,2018-08-10,6.0,0,31.0,Mohamed Diamé,70950,3274
14/15,Knee Problems,2015-04-21,2015-08-24,125.0,11,27.0,Mohamed Diamé,70950,3274
14/15,Knee Injury,2014-12-03,2015-03-14,101.0,17,27.0,Mohamed Diamé,70950,3274
12/13,Hamstring Injury,2012-12-09,2013-01-16,38.0,8,25.0,Mohamed Diamé,70950,3274
09/10,Knee Problems,2010-01-01,2010-01-27,26.0,4,22.0,Mohamed Diamé,70950,3274
21/22,Thigh Problems,2021-12-13,2022-02-15,64.0,8,32.0,Federico Fernández,85475,3290
20/21,Thigh Muscle Strain,2021-01-13,2021-02-16,34.0,7,31.0,Federico Fernández,85475,3290
20/21,Knock,2020-12-21,2020-12-25,4.0,1,31.0,Federico Fernández,85475,3290
20/21,Corona virus,2020-12-01,2020-12-14,13.0,1,31.0,Federico Fernández,85475,3290
18/19,Hip Injury,2018-12-30,2019-01-11,12.0,2,29.0,Federico Fernández,85475,3290
18/19,Calf Strain,2018-12-10,2018-12-21,11.0,1,29.0,Federico Fernández,85475,3290
18/19,Hamstring Injury,2018-09-23,2018-10-05,12.0,1,29.0,Federico Fernández,85475,3290
16/17,Fractured Toe,2016-12-01,2016-12-25,24.0,4,27.0,Federico Fernández,85475,3290
20/21,Thigh Problems,2021-04-08,2021-04-23,15.0,4,31.0,Sung-yueng Ki,81796,3605
20/21,Thigh Muscle Strain,2021-02-27,2021-03-02,3.0,1,31.0,Sung-yueng Ki,81796,3605
20/21,Achilles tendon problems,2020-09-19,2020-12-31,103.0,11,31.0,Sung-yueng Ki,81796,3605
20/21,Fitness,2020-07-20,2020-08-25,36.0,6,31.0,Sung-yueng Ki,81796,3605
19/20,Ankle Injury,2020-06-12,2020-06-26,14.0,4,30.0,Sung-yueng Ki,81796,3605
19/20,Knock,2019-09-30,2020-02-26,149.0,8,30.0,Sung-yueng Ki,81796,3605
18/19,Knee Injury,2019-05-06,2019-05-31,25.0,1,29.0,Sung-yueng Ki,81796,3605
18/19,Achilles tendon problems,2019-01-19,2019-02-23,35.0,6,29.0,Sung-yueng Ki,81796,3605
18/19,Achilles tendon problems,2019-01-07,2019-01-10,3.0,0,29.0,Sung-yueng Ki,81796,3605
17/18,Calf Strain,2017-12-14,2018-01-02,19.0,5,28.0,Sung-yueng Ki,81796,3605
16/17,Knee Injury,2017-06-14,2017-10-06,114.0,9,27.0,Sung-yueng Ki,81796,3605
